Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Nigeria,255633,3142,249825.0,2666.0,1188,15,4977858.0,23131.0,215203368
North Macedonia,307967,9256,297600.0,1111.0,147832,4443,1984493.0,952608.0,2083222
Norway,1417631,2667,,,257916,485,11002430.0,2001719.0,5496490
Oman,388741,4256,383776.0,709.0,72839,797,25000000.0,4684263.0,5337019
Pakistan,1526829,30362,1487073.0,9394.0,6682,133,27805841.0,121687.0,228503165
Palestine,581678,5352,575613.0,713.0,109507,1008,3078533.0,579564.0,5311807
Panama,767438,8178,757024.0,2236.0,173029,1844,5767195.0,1300291.0,4435310
Papua New Guinea,43615,649,42906.0,60.0,4716,70,249149.0,26942.0,9247764
Paraguay,648446,18734,624673.0,5039.0,88974,2571,2615453.0,358869.0,7288046
Peru,3552467,212528,,,105143,6290,29255017.0,865865.0,33787042
Philippines,3681851,59778,3595817.0,26256.0,32824,533,29202370.0,260341.0,112169737
Poland,5980220,115696,5333854.0,530670.0,158320,3063,35878475.0,949844.0,37773030
Portugal,3697653,21958,,,364519,2165,40534335.0,3995919.0,10143934
Qatar,363031,677,361138.0,1216.0,129294,241,3418486.0,1217494.0,2807805
Romania,2875942,65249,2606660.0,204033.0,151286,3432,22371077.0,1176811.0,19009910
Russia,18018825,372245,17271128.0,375452.0,123378,2549,273400000.0,1872019.0,146045544
Rwanda,129751,1458,45522.0,82771.0,9596,108,5173899.0,382634.0,13521800
Réunion,360445,731,342442.0,17272.0,397555,806,1603660.0,1768767.0,906654
S. Korea,15830644,20034,,,308304,390,15804065.0,307786.0,51347510
Saint Kitts and Nevis,5554,43,5507.0,4.0,103106,798,65141.0,1209293.0,53867
Saint Lucia,23045,365,22616.0,64.0,124489,1972,141332.0,763474.0,185117
Saint Martin,10176,63,1399.0,8714.0,255447,1581,112382.0,2821117.0,39836
San Marino,15683,114,15225.0,344.0,460479,3347,147532.0,4331787.0,34058
Sao Tome and Principe,5948,73,5872.0,3.0,26274,322,29036.0,128262.0,226381
Saudi Arabia,752078,9060,737748.0,5270.0,21022,253,41693268.0,1165395.0,35776087
Senegal,85952,1965,83967.0,20.0,4904,112,1056316.0,60269.0,17526638
Serbia,1991620,15899,1948245.0,27476.0,229584,1833,9326796.0,1075147.0,8674900
Seychelles,40866,164,39963.0,739.0,411011,1649,,,99428
Sierra Leone,7677,125,,,929,15,259958.0,31454.0,8264818
Singapore,1145121,1307,1073473.0,70341.0,193041,220,23611604.0,3980367.0,5932017
Sint Maarten,9888,86,9734.0,68.0,226063,1966,62056.0,1418747.0,43740
Slovakia,1754579,19618,1677142.0,57819.0,321096,3590,6987643.0,1278773.0,5464336
Slovenia,990719,6541,956300.0,27878.0,476434,3146,2629203.0,1264377.0,2079445
Solomon Islands,12285,139,11057.0,1089.0,17139,194,5117.0,7139.0,716766
Somalia,26471,1350,13182.0,11939.0,1587,81,400466.0,24009.0,16679727
South Africa,3733919,100116,3622097.0,11706.0,61579,1651,24094335.0,397361.0,60635919
South Sudan,17356,138,13514.0,3704.0,1519,12,367971.0,32203.0,11426665
Spain,11662214,103266,11120708.0,438240.0,249262,2207,471036328.0,10067692.0,46786925
Sri Lanka,662717,16492,642516.0,3709.0,30720,764,6477329.0,300257.0,21572631
St. Vincent Grenadines,6748,106,6639.0,3.0,60485,950,98692.0,884614.0,111565
Sudan,62034,4925,,,1358,108,562941.0,12327.0,45665628
Suriname,79276,1325,49395.0,28556.0,133022,2223,235707.0,395507.0,595962
Sweden,2491980,18472,2450948.0,22560.0,244047,1809,18445431.0,1806418.0,10211053
Switzerland,3551790,13767,3105701.0,432322.0,405133,1570,20548491.0,2343852.0,8766974
Syria,55750,3147,51879.0,724.0,3054,172,146269.0,8013.0,18254865
Taiwan,28666,854,21334.0,6478.0,1200,36,13396458.0,560678.0,23893298
Tajikistan,17388,124,17264.0,0.0,1753,13,,,9917718
Tanzania,33851,803,,,539,13,,,62752103
Thailand,3948869,26398,3689792.0,232679.0,56323,377,17270775.0,246335.0,70110896
Timor-Leste,22844,130,22703.0,11.0,16760,95,259277.0,190225.0,1363005
Togo,36957,272,36659.0,26.0,4286,32,723005.0,83847.0,8622956
Tonga,8559,11,6772.0,1776.0,79382,102,304785.0,2826768.0,107821
Trinidad and Tobago,140781,3787,130528.0,6466.0,100020,2691,682714.0,485043.0,1407533
Tunisia,1038668,28509,,,86282,2368,4547755.0,377779.0,12038131
Turkey,14972502,98462,14673980.0,200060.0,174200,1146,156329493.0,1818843.0,85949948
Turks and Caicos,5923,36,5859.0,28.0,149393,908,447713.0,11292481.0,39647
UAE,894186,2302,875116.0,16768.0,88511,228,151097132.0,14956403.0,10102505
UK,21679280,170395,19891817.0,1617068.0,316398,2487,511253697.0,7461482.0,68519051
USA,82133342,1013044,80015081.0,1105217.0,245579,3029,992445691.0,2967412.0,334448237
Uganda,164012,3596,100200.0,60216.0,3395,74,2592957.0,53681.0,48302914
Ukraine,4987285,108167,,,115267,2500,19521252.0,451177.0,43267404
Uruguay,894630,7186,884306.0,3138.0,255967,2056,6077462.0,1738852.0,3495101
Uzbekistan,238098,1637,236029.0,432.0,6936,48,1377915.0,40137.0,34330089
Venezuela,521618,5697,514288.0,1633.0,18436,201,3359014.0,118723.0,28292923
Vietnam,10272964,42858,8757107.0,1472999.0,103879,433,85106796.0,860593.0,98893226
Yemen,11814,2147,9000.0,667.0,381,69,265253.0,8559.0,30991448
Zambia,317804,3967,313073.0,764.0,16469,206,3382643.0,175292.0,19297192
Zimbabwe,247094,5460,240584.0,1050.0,16206,358,2219566.0,145575.0,15246924
